क्रस,प्रदेश,स्थानीय तहको नाम,जिल्ला,वेवसाईट,कार्यालयको ईमेल,सम्पर्क फोन,बिस्तृतमा
१.,कोशी प्रदेश,फुङलिङ नगरपालिका,ताप्लेजुङ,http://phunglingmun.gov.np/,info@phunglingmun.gov.np,024-460114,
२.,कोशी प्रदेश,आठराई त्रिवेणी गाउँपालिका,ताप्लेजुङ,http://aathraitribenimun.gov.np/,aathrai.tribenimun@gmail.com,9852660960,
३.,कोशी प्रदेश,फक्ताङलुङ गाउँपालिका,ताप्लेजुङ,http://phaktanglungmun.gov.np/,phaktanglungmun@gmail.com,021-696491,
४.,कोशी प्रदेश,मिक्वाखोला गाउँपालिका,ताप्लेजुङ,http://mikwakholamun.gov.np/,info@mikwakholamun.gov.np,9742691943,
५.,कोशी प्रदेश,मेरिङदेन गाउँपालिका,ताप्लेजुङ,http://meringdenmun.gov.np/,meringden@gmail.com,9852660822,
६.,कोशी प्रदेश,मैवाखोला गाउँपालिका,ताप्लेजुङ,http://maiwakholamun.gov.np/,info@maiwakholamun.gov.np,9852660937,
७.,कोशी प्रदेश,पाथिभरा याङ्वरक गाउँपालिका,ताप्लेजुङ,http://pathivarayangwarakmun.gov.np/,pathivarayang@gmail.com,9852660460,
८.,कोशी प्रदेश,सिदिङ्वा गाउँपालिका,ताप्लेजुङ,http://sidingbamun.gov.np/,sidingbarmtpj@gmail.com,9852660153,
९.,कोशी प्रदेश,सिरीजङ्घा गाउँपालिका,ताप्लेजुङ,http://sirijanghamun.gov.np/,sirijangharuralmunicipality@gmail.com,9861991144,
१०.,कोशी प्रदेश,मिक्लाजुङ गाउँपालिका,पाँचथर,http://miklajungmunpanchthar.gov.np/,info@miklajungmunpanchthar.gov.np,"024-412115,",
११.,कोशी प्रदेश,याङवरक गाउँपालिका,पाँचथर,http://yangwarakmunpanchthar.gov.np/,info@yangwarakmunpanchthar.gov.np,024-410049,
१२.,कोशी प्रदेश,फाल्गुनन्द गाउँपालिका,पाँचथर,http://phalgunandamun.gov.np/,info@phalgunandamun.gov.np,9852684384,
१३.,कोशी प्रदेश,कुम्मायक गाउँपालिका,पाँचथर,http://kummayakmun.gov.np/,info@kummayakmun.gov.np,024413061,
१४.,कोशी प्रदेश,तुम्वेवा गाउँपालिका,पाँचथर,http://tumwewamun.gov.np/,info@tumwewamun.gov.np,9851318144,
१५.,कोशी प्रदेश,फालेलुङ गाउँपालिका,पाँचथर,http://phalelungmun.gov.np/,phalelunggaunpalika@gmail.com,021696490,
१६.,कोशी प्रदेश,फिदिम नगरपालिका,पाँचथर,http://phidimmun.gov.np/,phidim.municipality@gmail.com,024-521107,
१७.,कोशी प्रदेश,फाल्गुनन्द गाउँपालिका,पाँचथर,http://phalgunandamun.gov.np/,info@phalgunandamun.gov.np,9852684384,
१८.,कोशी प्रदेश,रोङ गाउँपालिका,इलाम,http://rongmun.gov.np/,info@rongmun.gov.np,9852042020,
१९.,कोशी प्रदेश,माङसेबुङ गाउँपालिका,इलाम,http://mansebungmun.gov.np/,mangsebung.ruralmun@gmail.com,9852685445,
२०.,कोशी प्रदेश,माईजोगमाई गाउँपालिका,इलाम,http://maijogmaimun.gov.np/,info@maijogmaimun.gov.np,027-411044,
२१.,कोशी प्रदेश,सन्दकपुर गाउँपालिका,इलाम,http://sandakpurmun.gov.np/,sandakpurrm@gmail.com,9801451741,
२२.,कोशी प्रदेश,चुलाचुली गाउँपालिका,इलाम,http://chulachulimun.gov.np/,chulachuli.ruralmunicipality@gmail.com,9746872425,
२३.,कोशी प्रदेश,फाकफोकथुम गाउँपालिका,इलाम,http://phakphokthummun.gov.np/,phakphokthum.ruralmunicipality@gmail.com,०२७६९१४११,
२४.,कोशी प्रदेश,ईलाम नगरपालिका,इलाम,http://ilammun.gov.np/,mun.ilam@gmail.com,"027-520031,027520097",
२५.,कोशी प्रदेश,माई नगरपालिका,इलाम,http://maimun.gov.np/,mainagarpalika@gmail.com,027412222,
२६.,कोशी प्रदेश,देउमाई नगरपालिका,इलाम,http://deumaimun.gov.np/,info@deumaimun.gov.np,027-400001,
२७.,कोशी प्रदेश,सुर्योदय नगरपालिका,इलाम,http://suryodayamun.gov.np/,info@suryodayamun.gov.np,027-540410,
२८.,कोशी प्रदेश,शिवसताक्षी नगरपालिका,झापा,http://shivasatakshimun.gov.np/,dms.shivasatakshimun@gmail.com,023-470323,
२९.,कोशी प्रदेश,गौरिगंज गाउँपालिका,झापा,http://gaurigunjmun.gov.np/,info@gaurigunjmun.gov.np,023-412044,
३०.,कोशी प्रदेश,गौरादह नगरपालिका,झापा,http://gauradahamun.gov.np/,info@gauradahamun.gov.np,023-597006,
